schedule_id,date,staff_id,name_en,name_he,role,station,shift_start,shift_end
SCH000001,2025-09-01,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000002,2025-09-01,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000003,2025-09-01,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000004,2025-09-02,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000005,2025-09-02,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000006,2025-09-02,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000007,2025-09-03,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000008,2025-09-03,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000009,2025-09-03,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000010,2025-09-04,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000011,2025-09-04,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000012,2025-09-04,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000013,2025-09-04,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000014,2025-09-04,S07,Ido,עידו,barback,both,18:00,03:00
SCH000015,2025-09-05,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000016,2025-09-05,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000017,2025-09-05,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000018,2025-09-05,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000019,2025-09-05,S07,Ido,עידו,barback,both,18:00,03:00
SCH000020,2025-09-06,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000021,2025-09-06,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000022,2025-09-06,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000023,2025-09-06,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000024,2025-09-06,S07,Ido,עידו,barback,both,18:00,03:00
SCH000025,2025-09-07,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000026,2025-09-07,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000027,2025-09-07,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000028,2025-09-08,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000029,2025-09-08,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000030,2025-09-08,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000031,2025-09-09,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000032,2025-09-09,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000033,2025-09-09,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000034,2025-09-10,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000035,2025-09-10,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000036,2025-09-10,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000037,2025-09-11,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000038,2025-09-11,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000039,2025-09-11,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000040,2025-09-11,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000041,2025-09-11,S07,Ido,עידו,barback,both,18:00,03:00
SCH000042,2025-09-12,S02,Yael,יעל,shift_manager,both,18:00,03:00
SCH000043,2025-09-12,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000044,2025-09-12,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000045,2025-09-12,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000046,2025-09-12,S07,Ido,עידו,barback,both,18:00,03:00
SCH000047,2025-09-13,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000048,2025-09-13,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000049,2025-09-13,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
SCH000050,2025-09-13,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000051,2025-09-13,S07,Ido,עידו,barback,both,18:00,03:00
SCH000052,2025-09-14,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000053,2025-09-14,S05,Maya,מאיה,bartender,outside,18:00,03:00
SCH000054,2025-09-14,S04,Tomer,תומר,bartender,outside,18:00,03:00
SCH000055,2025-09-15,S01,Roei,רועי,shift_manager,both,18:00,03:00
SCH000056,2025-09-15,S03,Shir,שיר,bartender,inside,18:00,03:00
SCH000057,2025-09-15,S06,Muriel,מוריאל,bartender,inside,18:00,03:00
